Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Year,Month,Day,SMA_3,Prev_Close,Daily_Return,High_Low_Spread
2024-04-15,175.360001,176.630005,172.5,172.690002,172.456085,73531800,AAPL,2024,4,15,174.75999933333333,176.550003,-2.1863500053296576,4.130005000000011
2024-04-16,171.75,173.759995,168.270004,169.380005,169.150574,73711200,AAPL,2024,4,16,172.87333666666666,172.690002,-1.91672764008653,5.489991000000003
2024-04-17,169.610001,170.649994,168.0,168.0,167.772446,50901200,AAPL,2024,4,17,170.02333566666667,169.380005,-0.8147390242431574,2.6499939999999924
2024-04-18,168.029999,168.639999,166.550003,167.039993,166.813736,43122900,AAPL,2024,4,18,168.13999933333332,168.0,-0.5714327380952323,2.089995999999985
2024-04-19,166.210007,166.399994,164.080002,165.0,164.776505,67772100,AAPL,2024,4,19,166.67999766666665,167.039993,-1.2212602283813612,2.319991999999985
2024-04-22,165.520004,167.259995,164.770004,165.839996,165.615356,48116400,AAPL,2024,4,22,165.95999633333335,165.0,0.509088484848493,2.4899910000000034
2024-04-23,165.350006,167.050003,164.919998,166.899994,166.67392,49537800,AAPL,2024,4,23,165.91333,165.839996,0.6391690940465162,2.1300050000000113
2024-04-24,166.539993,169.300003,166.210007,169.020004,168.791061,48251800,AAPL,2024,4,24,167.25333133333334,166.899994,1.2702277269105282,3.0899960000000135
2024-04-25,169.529999,170.610001,168.149994,169.889999,169.659882,50558300,AAPL,2024,4,25,168.60333233333333,169.020004,0.5147290139692511,2.4600070000000187
2024-04-26,169.880005,171.339996,169.179993,169.300003,169.070679,44838400,AAPL,2024,4,26,169.40333533333333,169.889999,-0.34728118398540053,2.1600030000000174
2024-04-29,173.369995,176.029999,173.100006,173.5,173.264984,68169400,AAPL,2024,4,29,170.89666733333334,169.300003,2.4808014917755177,2.929992999999996
2024-04-30,173.330002,174.990005,170.0,170.330002,170.099289,65934800,AAPL,2024,4,30,171.04333499999998,173.5,-1.827088184438036,4.9900049999999965
2024-05-01,169.580002,172.710007,169.110001,169.300003,169.070679,50383100,AAPL,2024,5,1,171.04333499999998,170.330002,-0.6047079128197296,3.600005999999979
2024-05-02,172.509995,173.419998,170.889999,173.029999,172.795624,94214900,AAPL,2024,5,2,170.886668,169.300003,2.2031872025424595,2.5299990000000037
2024-05-03,186.649994,187.0,182.660004,183.380005,183.131607,163224100,AAPL,2024,5,3,175.236669,173.029999,5.981625186277674,4.3399960000000135
2024-05-06,182.350006,184.199997,180.419998,181.710007,181.463882,78569700,AAPL,2024,5,6,179.373337,183.380005,-0.9106761666845962,3.7799990000000037
2024-05-07,183.449997,184.899994,181.320007,182.399994,182.152924,77305800,AAPL,2024,5,7,182.49666866666666,181.710007,0.37971876804781707,3.5799869999999885
2024-05-08,182.850006,183.070007,181.449997,182.740005,182.492477,45057100,AAPL,2024,5,8,182.28333533333333,182.399994,0.1864095456055794,1.6200100000000077
2024-05-09,182.559998,184.660004,182.110001,184.570007,184.320007,48983000,AAPL,2024,5,9,183.23666866666667,182.740005,1.001423853523484,2.5500029999999754
2024-05-10,184.899994,185.089996,182.130005,183.050003,183.050003,50759500,AAPL,2024,5,10,183.45333833333333,184.570007,-0.8235379218466411,2.9599910000000023
2024-05-13,185.440002,187.100006,184.619995,186.279999,186.279999,72044800,AAPL,2024,5,13,184.63333633333332,183.050003,1.7645429921134719,2.480011000000019
2024-05-14,187.509995,188.300003,186.289993,187.429993,187.429993,52393600,AAPL,2024,5,14,185.586665,186.279999,0.6173470078234178,2.010009999999994
2024-05-15,187.910004,190.649994,187.369995,189.720001,189.720001,70400000,AAPL,2024,5,15,187.80999766666665,187.429993,1.2217937819588993,3.2799990000000037
2024-05-16,190.470001,191.100006,189.660004,189.839996,189.839996,52845200,AAPL,2024,5,16,188.99666333333334,189.720001,0.06324847109821445,1.440002000000021
2024-05-17,189.509995,190.809998,189.179993,189.869995,189.869995,41282900,AAPL,2024,5,17,189.8099973333333,189.839996,0.01580225486307703,1.6300050000000113
2024-05-20,189.330002,191.919998,189.009995,191.039993,191.039993,44361300,AAPL,2024,5,20,190.24999466666668,189.869995,0.6162100546745266,2.910002999999989
2024-05-21,191.089996,192.729996,190.919998,192.350006,192.350006,42309400,AAPL,2024,5,21,191.08666466666668,191.039993,0.6857270979904181,1.8099980000000073
2024-05-22,192.270004,192.820007,190.270004,190.899994,190.899994,34648500,AAPL,2024,5,22,191.42999766666665,192.350006,-0.7538403715984366,2.550003000000004
2024-05-23,190.979996,191.0,186.630005,186.880005,186.880005,51005900,AAPL,2024,5,23,190.04333499999998,190.899994,-2.105808866604774,4.369994999999989
2024-05-24,188.820007,190.580002,188.039993,189.979996,189.979996,36294600,AAPL,2024,5,24,189.25333166666667,186.880005,1.6588136328442353,2.5400089999999977
2024-05-28,191.509995,193.0,189.100006,189.990005,189.990005,52280100,AAPL,2024,5,28,188.950002,189.979996,0.005268449421378346,3.8999939999999924
2024-05-29,189.610001,192.25,189.509995,190.289993,190.289993,53068000,AAPL,2024,5,29,190.08666466666668,189.990005,0.1578967272515274,2.7400049999999965
2024-05-30,190.759995,192.179993,190.630005,191.289993,191.289993,49947900,AAPL,2024,5,30,190.52333033333332,190.289993,0.5255137089631402,1.5499879999999848
2024-05-31,191.440002,192.570007,189.910004,192.25,192.25,75158300,AAPL,2024,5,31,191.276662,191.289993,0.5018594987349861,2.6600030000000174
2024-06-03,192.899994,194.990005,192.520004,194.029999,194.029999,50080500,AAPL,2024,6,3,192.52333066666665,192.25,0.9258772431729537,2.4700009999999963
2024-06-04,194.639999,195.320007,193.029999,194.350006,194.350006,47471400,AAPL,2024,6,4,193.54333499999998,194.029999,0.1649265585988092,2.2900080000000003
2024-06-05,195.399994,196.899994,194.869995,195.869995,195.869995,54156800,AAPL,2024,6,5,194.75,194.350006,0.7820884759838809,2.0299990000000037
2024-06-06,195.690002,196.5,194.169998,194.479996,194.479996,41181800,AAPL,2024,6,6,194.899999,195.869995,-0.7096538701601482,2.3300020000000075
2024-06-07,194.649994,196.940002,194.139999,196.889999,196.889999,53103900,AAPL,2024,6,7,195.74666333333334,194.479996,1.2392035425586851,2.800003000000004
2024-06-10,196.899994,197.300003,192.149994,193.119995,193.119995,97262100,AAPL,2024,6,10,194.8299966666667,196.889999,-1.9147767886371923,5.150009000000011
2024-06-11,193.649994,207.160004,193.630005,207.149994,207.149994,172373300,AAPL,2024,6,11,199.05332933333332,193.119995,7.26491267773697,13.529998999999975
2024-06-12,207.369995,220.199997,206.899994,213.070007,213.070007,198134300,AAPL,2024,6,12,204.44666533333336,207.149994,2.857838846956477,13.300003000000004
2024-06-13,214.740005,216.75,211.600006,214.240005,214.240005,97862700,AAPL,2024,6,13,211.48666866666667,213.070007,0.5491143575172419,5.149993999999992
2024-06-14,213.850006,215.169998,211.300003,212.490005,212.490005,70122700,AAPL,2024,6,14,213.26667233333333,214.240005,-0.816840907000539,3.8699949999999887
2024-06-17,213.369995,218.949997,212.720001,216.669998,216.669998,93728300,AAPL,2024,6,17,214.46666933333333,212.490005,1.9671480547990932,6.229996
2024-06-18,217.589996,218.630005,213.0,214.289993,214.289993,79943300,AAPL,2024,6,18,214.483332,216.669998,-1.098446957109393,5.630005000000011
2024-06-20,213.929993,214.240005,208.850006,209.679993,209.679993,86172500,AAPL,2024,6,20,213.54666133333333,214.289993,-2.1512903778012693,5.389998999999989
2024-06-21,210.389999,211.889999,207.110001,207.490005,207.490005,246421400,AAPL,2024,6,21,210.48666366666666,209.679993,-1.0444429955699206,4.779997999999978
2024-06-24,207.720001,212.699997,206.589996,208.139999,208.139999,80727000,AAPL,2024,6,24,208.43666566666664,207.490005,0.3132652100519215,6.110000999999983
2024-06-25,209.149994,211.380005,208.610001,209.070007,209.070007,56713900,AAPL,2024,6,25,208.233337,208.139999,0.44681848970318055,2.770004
2024-06-26,211.5,214.860001,210.639999,213.25,213.25,66213200,AAPL,2024,6,26,210.15333533333333,209.070007,1.9993269527178024,4.220002000000022
2024-06-27,214.690002,215.740005,212.350006,214.100006,214.100006,49772700,AAPL,2024,6,27,212.14000433333334,213.25,0.3985960140679989,3.389998999999989
2024-06-28,215.770004,216.070007,210.300003,210.619995,210.619995,82542700,AAPL,2024,6,28,212.656667,214.100006,-1.6254137797642187,5.770004
2024-07-01,212.089996,217.509995,211.919998,216.75,216.75,60402900,AAPL,2024,7,1,213.82333366666668,210.619995,2.910457290629036,5.589997000000011
2023-12-01,146.0,147.25,145.550003,147.029999,147.029999,39924600,AMZN,2023,12,1,147.029999,,,1.6999969999999962
2023-12-04,145.25,145.350006,142.809998,144.839996,144.839996,48294200,AMZN,2023,12,4,145.9349975,147.029999,-1.4894939909507787,2.5400080000000003
2023-12-05,143.550003,148.570007,143.130005,146.880005,146.880005,46822400,AMZN,2023,12,5,146.25,144.839996,1.408456956875363,5.440001999999993
